var,value,unit,source
annual_hours,1900,h,chat+docs (vide planilha)
block_time_hr,1.42,h,https://www.flightconnections.com/pt/voos-de-cnf-para-uba
block_speed_kts,182,kts,distance_km/block_time_hr
distance_km,417,km,CNF_UBA_259nm(https://www.flightconnections.com/pt/voos-de-cnf-para-uba)
usd_per_brl,0.19,,20250919
preco_aeronave,19000000,USD,Turboprop_report_onscreen p53 (media de previsoes de varias companhias a partir de jan23)
num_motores,2,un,SpecSheet
